Idweb,Short_ref,full_plants,full_insects,full_inter,dipt_plants,dipt_insects,dipt_inter,hymeno_plants,hymeno_insects,hymeno_inter,Mean_T_IPCC,T_Seasonality_IPCC,Tot_Rainfall_IPCC,Rainfall_Seasonality_IPCC,HF,Annual_time_span,Sampling_time,Sampling_effort,Sampling_type,taxo_full_sp_perc,Location,Country_location,Latitude_dec,Longitude_dec,Year,Complete_ref,Source
26,"Petanidou et al., 2008",131,666,2933,99,191,763,128,342,1563,"17,1","6,513",452,63,68,365,5000,"0,057",TO,"85,32","Mont Aegaleo, Daphni, Grece",Greece,"38,02","23,64",1987,"Petanidou, T., Kallimanis, A. S., Tzanopoulos, J., Sgardelis, S. P., & Pantis, J. D. (2008). Long-term observation of a pollination network: Fluctuation in species and interactions, relative invariance of network structure and implications for estimates of specialization. Ecology Letters, 11(6), 564–575. ",Web of life: ecological networks database (http://www.web-of-life.es/)
28,"Ramirez, 1989",45,46,147,5,5,7,43,35,130,"18,9","0,399",2212,54,0,183,550,"0,266",TO,"68,13","Parque Nacional Cainama, Venezuela",Venezuela,"5,58","-61,72",1988,"Ramirez, N. (1989). Biologia de Polinizacion en una Comunidad Arbustiva Tropical de la Alta Guayana Venezolana. Biotropica, 21(4), 319–330.",Web of life: ecological networks database (http://www.web-of-life.es/)
30,"Smith-Ramírez et al., 2005",26,124,303,20,52,113,23,21,94,"10,4","2,282",2303,43,10,183,446,"0,138",TO,56,"Northern Chiloe Island, Chile",Chile,-42,"-73,58",2002,"Smith-Ramírez, C., Martinez, P., Nuñez, M., González, C., & Armesto, J. J. (2005). Diversity, flower visitation frequency and generalism of pollinators in temperate rain forests of Chiloé Island, Chile. Botanical Journal of the Linnean Society, 147(4), 399–416.",Web of life: ecological networks database (http://www.web-of-life.es/)
32,"Burkle et al., 2013",24,54,250,0,0,0,24,54,250,"11,8","9,532",953,22,66,90,447,"0,345",T,100,"Carlinville, Illinois, USA", USA,"39,28","-89,88",2010,"Burkle, L. A., Marlin, J. C., & Knight, T. M. (2013). Plant-pollinator interactions over 120 years: Loss of species, co-occurrence, and function. Science, 340(6127), 1611–1615. ",original publication
33,"Junker et al., 2013",56,254,569,31,61,88,46,60,177,9,"6,644",637,18,66,65,84,"0,006",T,"42,9","Würzburg, Germany", Germany,"49,78","9,97",2010,"Junker, R. R., Blüthgen, N., Brehm, T., Binkenstein, J., Paulus, J., Martin Schaefer, H., & Stang, M. (2013). Specialization on traits as basis for the niche-breadth of flower visitors and as structuring mechanism of ecological networks. Functional Ecology, 27(2), 329–341. ",original publication
34,"Weiner et al., 2011",81,517,1811,65,292,1018,63,118,411,"6,9","6,377",954,25,18,122,240,"0,006",T,"98,16","Swabian Jura, Germany", Germany,"48,44","9,55",2007,"Weiner, C. N., Werner, M., Linsenmair, K. E., & Blüthgen, N. (2011). Land use intensity in grasslands: Changes in biodiversity, species composition and specialisation in flower visitor networks. Basic and Applied Ecology, 12(4), 292–299. ",original publication
36,"Kaiser-Bunbury et al., 2009",83,163,1035,75,71,583,70,18,148,"19,6","2,184",1874,51,26,183,4002,"0,296",TO,"62,6","Black River Gorges
National Park, Mauritius Island", Mauritius,"-20,42","57,44",2004,"Kaiser-Bunbury, C. N., Memmott, J., & Müller, C. B. (2009). Community structure of pollination webs of Mauritian heathland habitats. Perspectives in Plant Ecology, Evolution and Systematics, 11(4), 241–254. ",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
38,"Bartomeus et al., 2008",32,119,367,10,15,29,30,78,212,"15,3","5,172",585,33,58,122,"67,2","0,018",T,"39,74","Natural Park of Cap de Creus, Catalonia",Spain,"43,31","3,3",2005,"Bartomeus, I., Vilà, M., & Santamaría, L. (2008). Contrasting effects of invasive plants in plant-pollinator networks. Oecologia, 155(4), 761–770. ",Interaction Web DataBase (https://iwdb.nceas.ucsb.edu/)
39,"Olito & Fox, 2015",41,125,319,33,92,239,29,11,53,"-1,9","7,909",653,24,8,62,47,"0,009",T,"54,82","Mont Murray, Canadian Rockies, Kananaskis Country, Alberta, Canada", Canada,"50,75","-115,28",2010,"Olito, C., & Fox, J. W. (2015). Species traits and abundances predict metrics of plant-pollinator network structure, but not pairwise interactions. Oikos, 124(4), 428–436. ",DRYAD: https://doi.org/10.5061/dryad.7st32
40,"Gilarranz et al., 2014",96,176,1181,58,37,308,86,75,491,"13,6","4,593",834,19,18,214,318,"0,019",T,"58,82","Balcarce, Argentina", Argentina,"-37,82","-58,2",2008,"Gilarranz, L. J., Sabatino, M., Aizen, M. A., & Bascompte, J. (2015). Hot spots of mutualistic networks. Journal of Animal Ecology, 84(2), 407–413. ",DRYAD: https://doi.org/10.5061/dryad.cr3ft
