Epsilon,Missing Network,Test Loss,Train Loss,AUC,AP,F1
0.1,0,0.6549516320228577,0.6832682710886001,0.6202240735420855,0.5677563264857135,0.7007299270072993
0.1,1,0.8147386312484741,0.722078568816185,0.5720221606648199,0.5517831585579339,0.49382716049382713
0.1,2,0.6680880784988403,0.695046761393547,0.6593617839292579,0.6723009605285498,0.6428571428571429
0.1,3,0.7446337938308716,0.6337967467904091,0.5740099961553249,0.5662308436030313,0.6238532110091743
0.1,0,0.632713794708252,0.6799700920581817,0.7110025854639471,0.7056683560600437,0.7058823529411765
0.1,1,0.7105205655097961,0.638357881963253,0.5893351800554016,0.5955562644986325,0.6136363636363636
0.1,2,0.70151686668396,0.6911827316284179,0.6259131103421761,0.6295049010752941,0.6984126984126984
0.1,3,0.7379496097564697,0.6531974402070045,0.46366782006920415,0.4835914326751644,0.5982905982905983
0.1,0,0.6119149923324585,0.6967567691802978,0.7546681987934502,0.6869596047517241,0.6991869918699187
0.1,1,0.6702160239219666,0.6534051327109337,0.659972299168975,0.652302922259047,0.6172839506172839
0.1,2,0.6804027557373047,0.6550645877122879,0.6378316032295271,0.5662424589246347,0.672566371681416
0.1,3,0.6587992310523987,0.6966623518466949,0.661284121491734,0.6236701042779962,0.7027027027027027
0.2,0,0.6606305837631226,0.6752092201709747,0.677600451945484,0.6476322474290512,0.680327868852459
0.2,1,0.70619797706604,0.6393593616485596,0.6597991689750693,0.669593381664018,0.6706586826347305
0.2,2,0.7199634313583374,0.7122341549396515,0.6923838250541992,0.6563245347795681,0.7256637168141593
0.2,3,0.6800673604011536,0.670031359910965,0.6399754925063625,0.5986510390847473,0.6267281105990783
0.2,0,0.6580290198326111,0.6835376269817353,0.6659487324341501,0.6225192405650197,0.6827309236947792
0.2,1,0.6875696778297424,0.6480829191803932,0.7184903047091412,0.6801675400384646,0.7105263157894737
0.2,2,0.6656492352485657,0.7169421440362931,0.64926006221133,0.6154133787663505,0.6638297872340425
0.2,3,0.7793852090835571,0.6882302523851395,0.4901498727495523,0.5310711610030936,0.5691699604743083
0.2,0,0.6599641442298889,0.6713877437114716,0.6501306404914906,0.6197050701795381,0.640926640926641
0.2,1,0.683947741985321,0.6129251666069031,0.707236842105263,0.7010706305845587,0.6748466257668712
0.2,2,0.7167493104934692,0.7048155470490456,0.6056178716184372,0.5868276398194466,0.5972850678733032
0.2,3,0.7166497707366943,0.5968320940732956,0.543783579979263,0.5322547004160155,0.6194690265486725
0.3,0,0.6382097005844116,0.6836269716024399,0.6888334806211337,0.6819920825302557,0.6775067750677507
0.3,1,0.6537875533103943,0.62534057867527,0.743728839642967,0.7160145734425682,0.6933333333333334
0.3,2,0.698413074016571,0.7029892940521241,0.6237350312025637,0.5660873351368476,0.6744186046511628
0.3,3,0.6723945140838623,0.685930895447731,0.6442275257210321,0.652063578273973,0.5466666666666666
0.3,0,0.6356491446495056,0.7375078263282776,0.7254608004039895,0.6771350532113369,0.7117794486215538
